id,name,description,type_tax_use,amount_type,amount,account_id:id,refund_account_id:id,chart_template_id:id,sequence,children_tax_ids:id,tag_ids:id
lu_2015_tax_FB-EC-14-p,Expenses Goods 14% - Extra-Community (+),FB-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1233,,tag_lu_363
lu_2015_tax_FB-EC-14,Expenses Goods 14% - Extra-Community,FB-EC-14,purchase,group,100,,,lu_2011_chart_1,231,"lu_2015_tax_FB-EC-14-n,lu_2015_tax_FB-EC-14-p",tag_lu_82
lu_2011_tax_FB-EC-15-n,Expenses Goods 15% - Extra-Community (-),FB-EC-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1235,,tag_lu_529
lu_2011_tax_FB-EC-15-p,Expenses Goods 15% - Extra-Community (+),FB-EC-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1236,,tag_lu_327
lu_2011_tax_FB-EC-15,Expenses Goods 15% - Extra-Community,FB-EC-15,purchase,group,100,,,lu_2011_chart_1,234,"lu_2011_tax_FB-EC-15-n,lu_2011_tax_FB-EC-15-p",tag_lu_38
lu_2015_tax_FB-EC-17-n,Expenses Goods 17% - Extra-Community (-),FB-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1238,,tag_lu_530
lu_2015_tax_FB-EC-17-p,Expenses Goods 17% - Extra-Community (+),FB-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1239,,tag_lu_359
lu_2015_tax_FB-EC-17,Expenses Goods 17% - Extra-Community,FB-EC-17,purchase,group,100,,,lu_2011_chart_1,237,"lu_2015_tax_FB-EC-17-n,lu_2015_tax_FB-EC-17-p",tag_lu_78
lu_2011_tax_FB-EC-3-n,Expenses Goods 3% - Extra-Community (-),FB-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1241,,tag_lu_531
lu_2011_tax_FB-EC-3-p,Expenses Goods 3% - Extra-Community (+),FB-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1242,,tag_lu_335
lu_2011_tax_FB-EC-3,Expenses Goods 3% - Extra-Community,FB-EC-3,purchase,group,100,,,lu_2011_chart_1,240,"lu_2011_tax_FB-EC-3-n,lu_2011_tax_FB-EC-3-p",tag_lu_46
lu_2011_tax_FB-EC-6-n,Expenses Goods 6% - Extra-Community (-),FB-EC-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1244,,tag_lu_532
lu_2011_tax_FB-EC-6-p,Expenses Goods 6% - Extra-Community (+),FB-EC-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1245,,tag_lu_331
lu_2011_tax_FB-EC-6,Expenses Goods 6% - Extra-Community,FB-EC-6,purchase,group,100,,,lu_2011_chart_1,243,"lu_2011_tax_FB-EC-6-n,lu_2011_tax_FB-EC-6-p",tag_lu_42
lu_2015_tax_FB-EC-8-n,Expenses Goods 8% - Extra-Community (-),FB-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1247,,tag_lu_533
lu_2015_tax_FB-EC-8-p,Expenses Goods 8% - Extra-Community (+),FB-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1248,,tag_lu_367
lu_2015_tax_FB-EC-8,Expenses Goods 8% - Extra-Community,FB-EC-8,purchase,group,100,,,lu_2011_chart_1,246,"lu_2015_tax_FB-EC-8-n,lu_2015_tax_FB-EC-8-p",tag_lu_86
lu_2015_tax_FB-ECP-0,Expenses Goods Exempted - Extra-Community fin privées,FB-ECP-0,purchase,percent,0,,,lu_2011_chart_1,249,,tag_lu_74
lu_2015_tax_FB-ECP-12-n,Expenses Goods 12% - Extra-Community fin privées (-),FB-ECP-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1251,,tag_lu_534
lu_2015_tax_FB-ECP-12-p,Expenses Goods 12% - Extra-Community fin privées (+),FB-ECP-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1252,,tag_lu_355
lu_2015_tax_FB-ECP-12,Expenses Goods 12% - Extra-Community fin privées,FB-ECP-12,purchase,group,100,,,lu_2011_chart_1,250,"lu_2015_tax_FB-ECP-12-n,lu_2015_tax_FB-ECP-12-p",tag_lu_66
lu_2015_tax_FB-ECP-14-n,Expenses Goods 14% - Extra-Community fin privées (-),FB-ECP-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1254,,tag_lu_535
lu_2015_tax_FB-ECP-14-p,Expenses Goods 14% - Extra-Community fin privées (+),FB-ECP-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1255,,tag_lu_375
lu_2015_tax_FB-ECP-14,Expenses Goods 14% - Extra-Community fin privées,FB-ECP-14,purchase,group,100,,,lu_2011_chart_1,253,"lu_2015_tax_FB-ECP-14-n,lu_2015_tax_FB-ECP-14-p",tag_lu_94
lu_2015_tax_FB-ECP-15-n,Expenses Goods 15% - Extra-Community fin privées (-),FB-ECP-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1257,,tag_lu_536
lu_2015_tax_FB-ECP-15-p,Expenses Goods 15% - Extra-Community fin privées (+),FB-ECP-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1258,,tag_lu_343
lu_2015_tax_FB-ECP-15,Expenses Goods 15% - Extra-Community fin privées,FB-ECP-15,purchase,group,100,,,lu_2011_chart_1,256,"lu_2015_tax_FB-ECP-15-n,lu_2015_tax_FB-ECP-15-p",tag_lu_54
lu_2015_tax_FB-ECP-17-n,Expenses Goods 17% - Extra-Community fin privées (-),FB-ECP-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1260,,tag_lu_537
lu_2015_tax_FB-ECP-17-p,Expenses Goods 17% - Extra-Community fin privées (+),FB-ECP-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1261,,tag_lu_371
lu_2015_tax_FB-ECP-17,Expenses Goods 17% - Extra-Community fin privées,FB-ECP-17,purchase,group,100,,,lu_2011_chart_1,259,"lu_2015_tax_FB-ECP-17-n,lu_2015_tax_FB-ECP-17-p",tag_lu_90
lu_2015_tax_FB-ECP-3-n,Expenses Goods 3% - Extra-Community fin privées (-),FB-ECP-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1263,,tag_lu_538
lu_2015_tax_FB-ECP-3-p,Expenses Goods 3% - Extra-Community fin privées (+),FB-ECP-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1264,,tag_lu_351
lu_2015_tax_FB-ECP-3,Expenses Goods 3% - Extra-Community fin privées,FB-ECP-3,purchase,group,100,,,lu_2011_chart_1,262,"lu_2015_tax_FB-ECP-3-n,lu_2015_tax_FB-ECP-3-p",tag_lu_62
lu_2015_tax_FB-ECP-6-n,Expenses Goods 6% - Extra-Community fin privées (-),FB-ECP-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1266,,tag_lu_539
lu_2015_tax_FB-ECP-6-p,Expenses Goods 6% - Extra-Community fin privées (+),FB-ECP-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1267,,tag_lu_347
lu_2015_tax_FB-ECP-6,Expenses Goods 6% - Extra-Community fin privées,FB-ECP-6,purchase,group,100,,,lu_2011_chart_1,265,"lu_2015_tax_FB-ECP-6-n,lu_2015_tax_FB-ECP-6-p",tag_lu_58
lu_2015_tax_FB-ECP-8-n,Expenses Goods 8% - Extra-Community fin privées (-),FB-ECP-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1269,,tag_lu_540
lu_2015_tax_FB-ECP-8-p,Expenses Goods 8% - Extra-Community fin privées (+),FB-ECP-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1270,,tag_lu_379
lu_2015_tax_FB-ECP-8,Expenses Goods 8% - Extra-Community fin privées,FB-ECP-8,purchase,group,100,,,lu_2011_chart_1,268,"lu_2015_tax_FB-ECP-8-n,lu_2015_tax_FB-ECP-8-p",tag_lu_98
lu_2011_tax_FB-IC-0,Expenses Goods Exempted - Intra-Community,FB-IC-0,purchase,percent,0,,,lu_2011_chart_1,271,,tag_lu_21
lu_2011_tax_FB-IC-12-n,Expenses Goods 12% - Intra-Community (-),FB-IC-12-n,none,percent,-12,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1273,,tag_lu_498
lu_2011_tax_FB-IC-12-p,Expenses Goods 12% - Intra-Community (+),FB-IC-12-p,none,percent,12,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1274,,tag_lu_310
lu_2011_tax_FB-IC-12,Expenses Goods 12% - Intra-Community,FB-IC-12,purchase,group,100,,,lu_2011_chart_1,272,"lu_2011_tax_FB-IC-12-n,lu_2011_tax_FB-IC-12-p",tag_lu_17
lu_2015_tax_FB-IC-14-n,Expenses Goods 14% - Intra-Community (-),FB-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1276,,tag_lu_499
lu_2015_tax_FB-IC-14-p,Expenses Goods 14% - Intra-Community (+),FB-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1277,,tag_lu_318
lu_2015_tax_FB-IC-14,Expenses Goods 14% - Intra-Community,FB-IC-14,purchase,group,100,,,lu_2011_chart_1,275,"lu_2015_tax_FB-IC-14-n,lu_2015_tax_FB-IC-14-p",tag_lu_29
lu_2011_tax_FB-IC-15-n,Expenses Goods 15% - Intra-Community (-),FB-IC-15-n,none,percent,-15,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1279,,tag_lu_500
lu_2011_tax_FB-IC-15-p,Expenses Goods 15% - Intra-Community (+),FB-IC-15-p,none,percent,15,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1280,,tag_lu_298
lu_2011_tax_FB-IC-15,Expenses Goods 15% - Intra-Community,FB-IC-15,purchase,group,100,,,lu_2011_chart_1,278,"lu_2011_tax_FB-IC-15-n,lu_2011_tax_FB-IC-15-p",tag_lu_05
lu_2015_tax_FB-IC-17-n,Expenses Goods 17% - Intra-Community (-),FB-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1282,,tag_lu_501
lu_2015_tax_FB-IC-17-p,Expenses Goods 17% - Intra-Community (+),FB-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1283,,tag_lu_314
lu_2015_tax_FB-IC-17,Expenses Goods 17% - Intra-Community,FB-IC-17,purchase,group,100,,,lu_2011_chart_1,281,"lu_2015_tax_FB-IC-17-n,lu_2015_tax_FB-IC-17-p",tag_lu_25
lu_2011_tax_FB-IC-3-n,Expenses Goods 3% - Intra-Community (-),FB-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1285,,tag_lu_502
lu_2011_tax_FB-IC-3-p,Expenses Goods 3% - Intra-Community (+),FB-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1286,,tag_lu_306
lu_2011_tax_FB-IC-3,Expenses Goods 3% - Intra-Community,FB-IC-3,purchase,group,100,,,lu_2011_chart_1,284,"lu_2011_tax_FB-IC-3-n,lu_2011_tax_FB-IC-3-p",tag_lu_13
lu_2011_tax_FB-IC-6-n,Expenses Goods 6% - Intra-Community (-),FB-IC-6-n,none,percent,-6,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1288,,tag_lu_503
lu_2011_tax_FB-IC-6-p,Expenses Goods 6% - Intra-Community (+),FB-IC-6-p,none,percent,6,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1289,,tag_lu_302
lu_2011_tax_FB-IC-6,Expenses Goods 6% - Intra-Community,FB-IC-6,purchase,group,100,,,lu_2011_chart_1,287,"lu_2011_tax_FB-IC-6-n,lu_2011_tax_FB-IC-6-p",tag_lu_09
lu_2015_tax_FB-IC-8-n,Expenses Goods 8% - Intra-Community (-),FB-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1291,,tag_lu_504
lu_2015_tax_FB-IC-8-p,Expenses Goods 8% - Intra-Community (+),FB-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1292,,tag_lu_322
lu_2015_tax_FB-IC-8,Expenses Goods 8% - Intra-Community,FB-IC-8,purchase,group,100,,,lu_2011_chart_1,290,"lu_2015_tax_FB-IC-8-n,lu_2015_tax_FB-IC-8-p",tag_lu_33
lu_2011_tax_FB-PA-0,Expenses Goods 0% - Country,FB-PA-0,purchase,percent,0,,,lu_2011_chart_1,293,,tag_lu_236
lu_2011_tax_FB-PA-12,Expenses Goods 12% - Country,FB-PA-12,purchase,percent,12,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,294,,"tag_lu_237,tag_lu_462"
lu_2015_tax_FB-PA-14,Expenses Goods 14% - Country,FB-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,295,,"tag_lu_463,tag_lu_238"
lu_2011_tax_FB-PA-15,Expenses Goods 15% - Country,FB-PA-15,purchase,percent,15,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,296,,"tag_lu_239,tag_lu_464"
lu_2015_tax_FB-PA-17,Expenses Goods 17% - Country,FB-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,297,,"tag_lu_240,tag_lu_465"
lu_2011_tax_FB-PA-3,Expenses Goods 3% - Country,FB-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,298,,"tag_lu_241,tag_lu_466"
lu_2011_tax_FB-PA-6,Expenses Goods 6% - Country,FB-PA-6,purchase,percent,6,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,299,,"tag_lu_242,tag_lu_467"
lu_2015_tax_FB-PA-8,Expenses Goods 8% - Country,FB-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,300,,"tag_lu_468,tag_lu_243"
lu_2011_tax_FP-EC-0,Expenses Services Extempted - Extra-Community,FP-EC-0,purchase,percent,0,,,lu_2011_chart_1,301,,tag_lu_154
lu_2011_tax_FP-EC-12-n,Expenses Services 12% - Extra-Community (-),FP-EC-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1303,,tag_lu_570
lu_2011_tax_FP-EC-12-p,Expenses Services 12% - Extra-Community (+),FP-EC-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1304,,tag_lu_426
lu_2011_tax_FP-EC-12,Expenses Services 12% - Extra-Community,FP-EC-12,purchase,group,100,,,lu_2011_chart_1,302,"lu_2011_tax_FP-EC-12-n,lu_2011_tax_FP-EC-12-p",tag_lu_150
lu_2015_tax_FP-EC-14-n,Expenses Services 14% - Extra-Community (-),FP-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1306,,tag_lu_571
lu_2015_tax_FP-EC-14-p,Expenses Services 14% - Extra-Community (+),FP-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1307,,tag_lu_434
lu_2015_tax_FP-EC-14,Expenses Services 14% - Extra-Community,FP-EC-14,purchase,group,100,,,lu_2011_chart_1,305,"lu_2015_tax_FP-EC-14-n,lu_2015_tax_FP-EC-14-p",tag_lu_162
lu_2011_tax_FP-EC-15-n,Expenses Services 15% - Extra-Community (-),FP-EC-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1309,,tag_lu_572
lu_2011_tax_FP-EC-15-p,Expenses Services 15% - Extra-Community (+),FP-EC-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1310,,tag_lu_414
lu_2011_tax_FP-EC-15,Expenses Services 15% - Extra-Community,FP-EC-15,purchase,group,100,,,lu_2011_chart_1,308,"lu_2011_tax_FP-EC-15-n,lu_2011_tax_FP-EC-15-p",tag_lu_138
lu_2015_tax_FP-EC-17-n,Expenses Services 17% - Extra-Community (-),FP-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1312,,tag_lu_573
lu_2015_tax_FP-EC-17-p,Expenses Services 17% - Extra-Community (+),FP-EC-17-p,none,percent,17,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1313,,tag_lu_430
lu_2015_tax_FP-EC-17,Expenses Services 17% - Extra-Community,FP-EC-17,purchase,group,100,,,lu_2011_chart_1,311,"lu_2015_tax_FP-EC-17-n,lu_2015_tax_FP-EC-17-p",tag_lu_158
lu_2011_tax_FP-EC-3-n,Expenses Services 3% - Extra-Community (-),FP-EC-3-n,none,percent,-3,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1315,,tag_lu_574
lu_2011_tax_FP-EC-3-p,Expenses Services 3% - Extra-Community (+),FP-EC-3-p,none,percent,3,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1316,,tag_lu_422
lu_2011_tax_FP-EC-3,Expenses Services 3% - Extra-Community,FP-EC-3,purchase,group,100,,,lu_2011_chart_1,314,"lu_2011_tax_FP-EC-3-n,lu_2011_tax_FP-EC-3-p",tag_lu_146
lu_2011_tax_FP-EC-6-n,Expenses Services 6% - Extra-Community (-),FP-EC-6-n,none,percent,-6,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1318,,tag_lu_575
lu_2011_tax_FP-EC-6-p,Expenses Services 6% - Extra-Community (+),FP-EC-6-p,none,percent,6,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1319,,tag_lu_418
lu_2011_tax_FP-EC-6,Expenses Services 6% - Extra-Community,FP-EC-6,purchase,group,100,,,lu_2011_chart_1,317,"lu_2011_tax_FP-EC-6-n,lu_2011_tax_FP-EC-6-p",tag_lu_142
lu_2015_tax_FP-EC-8-n,Expenses Services 8% - Extra-Community (-),FP-EC-8-n,none,percent,-8,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1321,,tag_lu_576
lu_2015_tax_FP-EC-8-p,Expenses Services 8% - Extra-Community (+),FP-EC-8-p,none,percent,8,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1322,,tag_lu_438
lu_2015_tax_FP-EC-8,Expenses Services 8% - Extra-Community,FP-EC-8,purchase,group,100,,,lu_2011_chart_1,320,"lu_2015_tax_FP-EC-8-n,lu_2015_tax_FP-EC-8-p",tag_lu_166
lu_2011_tax_FP-IC-0,Expenses Services Exempted - Intra-Community,FP-IC-0,purchase,percent,0,,,lu_2011_chart_1,323,,tag_lu_121
lu_2011_tax_FP-IC-12-n,Expenses Services 12% - Intra-Community (-),FP-IC-12-n,none,percent,-12,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1325,,tag_lu_577
lu_2011_tax_FP-IC-12-p,Expenses Services 12% - Intra-Community (+),FP-IC-12-p,none,percent,12,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1326,,tag_lu_397
lu_2011_tax_FP-IC-12,Expenses Services 12% - Intra-Community,FP-IC-12,purchase,group,100,,,lu_2011_chart_1,324,"lu_2011_tax_FP-IC-12-n,lu_2011_tax_FP-IC-12-p",tag_lu_117
lu_2015_tax_FP-IC-14-n,Expenses Services 14% - Intra-Community (-),FP-IC-14-n,none,percent,-14,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1328,,tag_lu_578
lu_2015_tax_FP-IC-14-p,Expenses Services 14% - Intra-Community (+),FP-IC-14-p,none,percent,14,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1329,,tag_lu_405
lu_2015_tax_FP-IC-14,Expenses Services 14% - Intra-Community,FP-IC-14,purchase,group,100,,,lu_2011_chart_1,327,"lu_2015_tax_FP-IC-14-n,lu_2015_tax_FP-IC-14-p",tag_lu_129
lu_2011_tax_FP-IC-15-n,Expenses Services 15% - Intra-Community (-),FP-IC-15-n,none,percent,-15,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1331,,tag_lu_579
lu_2011_tax_FP-IC-15-p,Expenses Services 15% - Intra-Community (+),FP-IC-15-p,none,percent,15,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1332,,tag_lu_385
lu_2011_tax_FP-IC-15,Expenses Services 15% - Intra-Community,FP-IC-15,purchase,group,100,,,lu_2011_chart_1,330,"lu_2011_tax_FP-IC-15-n,lu_2011_tax_FP-IC-15-p",tag_lu_105
lu_2015_tax_FP-IC-17-n,Expenses Services 17% - Intra-Community (-),FP-IC-17-n,none,percent,-17,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1334,,tag_lu_580
lu_2015_tax_FP-IC-17-p,Expenses Services 17% - Intra-Community (+),FP-IC-17-p,none,percent,17,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1335,,tag_lu_401
lu_2015_tax_FP-IC-17,Expenses Services 17% - Intra-Community,FP-IC-17,purchase,group,100,,,lu_2011_chart_1,333,"lu_2015_tax_FP-IC-17-n,lu_2015_tax_FP-IC-17-p",tag_lu_125
lu_2011_tax_FP-IC-3-n,Expenses Services 3% - Intra-Community (-),FP-IC-3-n,none,percent,-3,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1337,,tag_lu_581
lu_2011_tax_FP-IC-3-p,Expenses Services 3% - Intra-Community (+),FP-IC-3-p,none,percent,3,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1338,,tag_lu_393
lu_2011_tax_FP-IC-3,Expenses Services 3% - Intra-Community,FP-IC-3,purchase,group,100,,,lu_2011_chart_1,336,"lu_2011_tax_FP-IC-3-n,lu_2011_tax_FP-IC-3-p",tag_lu_113
lu_2011_tax_FP-IC-6-n,Expenses Services 6% - Intra-Community (-),FP-IC-6-n,none,percent,-6,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1340,,tag_lu_582
lu_2011_tax_FP-IC-6-p,Expenses Services 6% - Intra-Community (+),FP-IC-6-p,none,percent,6,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1341,,tag_lu_389
lu_2011_tax_FP-IC-6,Expenses Services 6% - Intra-Community,FP-IC-6,purchase,group,100,,,lu_2011_chart_1,339,"lu_2011_tax_FP-IC-6-n,lu_2011_tax_FP-IC-6-p",tag_lu_109
lu_2015_tax_FP-IC-8-n,Expenses Services 8% - Intra-Community (-),FP-IC-8-n,none,percent,-8,lu_2011_account_4614112,lu_2011_account_4614112,lu_2011_chart_1,1343,,tag_lu_583
lu_2015_tax_FP-IC-8-p,Expenses Services 8% - Intra-Community (+),FP-IC-8-p,none,percent,8,lu_2011_account_4216112,lu_2011_account_4216112,lu_2011_chart_1,1344,,tag_lu_409
lu_2015_tax_FP-IC-8,Expenses Services 8% - Intra-Community,FP-IC-8,purchase,group,100,,,lu_2011_chart_1,342,"lu_2015_tax_FP-IC-8-n,lu_2015_tax_FP-IC-8-p",tag_lu_133
lu_2011_tax_FP-PA-0,Expenses Services 0% - Country,FP-PA-0,purchase,percent,0,,,lu_2011_chart_1,345,,tag_lu_244
lu_2011_tax_FP-PA-12,Expenses Services 12% - Country,FP-PA-12,purchase,percent,12,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,346,,"tag_lu_469,tag_lu_245"
lu_2015_tax_FP-PA-14,Expenses Services 14% - Country,FP-PA-14,purchase,percent,14,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,347,,"tag_lu_470,tag_lu_246"
lu_2011_tax_FP-PA-15,Expenses Services 15% - Country,FP-PA-15,purchase,percent,15,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,348,,"tag_lu_247,tag_lu_471"
lu_2015_tax_FP-PA-17,Expenses Services 17% - Country,FP-PA-17,purchase,percent,17,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,349,,"tag_lu_248,tag_lu_472"
lu_2011_tax_FP-PA-3,Expenses Services 3% - Country,FP-PA-3,purchase,percent,3,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,350,,"tag_lu_473,tag_lu_249"
lu_2011_tax_FP-PA-6,Expenses Services 6% - Country,FP-PA-6,purchase,percent,6,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,351,,"tag_lu_474,tag_lu_250"
lu_2015_tax_FP-PA-8,Expenses Services 8% - Country,FP-PA-8,purchase,percent,8,lu_2011_account_4216111,lu_2011_account_4216111,lu_2011_chart_1,352,,"tag_lu_475,tag_lu_251"
lu_2011_tax_IB-EC-0,Investment Goods Exempted - Extra-Community,IB-EC-0,purchase,percent,0,,,lu_2011_chart_1,353,,tag_lu_71
lu_2011_tax_IB-EC-12-n,Investment Goods 12% - Extra-Community (-),IB-EC-12-n,none,percent,-12,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1355,,tag_lu_541
lu_2011_tax_IB-EC-12-p,Investment Goods 12% - Extra-Community (+),IB-EC-12-p,none,percent,12,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1356,,tag_lu_340
lu_2011_tax_IB-EC-12,Investment Goods 12% - Extra-Community,IB-EC-12,purchase,group,100,,,lu_2011_chart_1,354,"lu_2011_tax_IB-EC-12-n,lu_2011_tax_IB-EC-12-p",tag_lu_51
lu_2015_tax_IB-EC-14-n,Investment Goods 14% - Extra-Community (-),IB-EC-14-n,none,percent,-14,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1358,,tag_lu_542
lu_2015_tax_IB-EC-14-p,Investment Goods 14% - Extra-Community (+),IB-EC-14-p,none,percent,14,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1359,,tag_lu_364
lu_2015_tax_IB-EC-14,Investment Goods 14% - Extra-Community,IB-EC-14,purchase,group,100,,,lu_2011_chart_1,357,"lu_2015_tax_IB-EC-14-n,lu_2015_tax_IB-EC-14-p",tag_lu_83
lu_2011_tax_IB-EC-15-n,Investment Goods 15% - Extra-Community (-),IB-EC-15-n,none,percent,-15,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1361,,tag_lu_543
lu_2011_tax_IB-EC-15-p,Investment Goods 15% - Extra-Community (+),IB-EC-15-p,none,percent,15,lu_2011_account_4216113,lu_2011_account_4216113,lu_2011_chart_1,1362,,tag_lu_328
lu_2011_tax_IB-EC-15,Investment Goods 15% - Extra-Community,IB-EC-15,purchase,group,100,,,lu_2011_chart_1,360,"lu_2011_tax_IB-EC-15-n,lu_2011_tax_IB-EC-15-p",tag_lu_39
lu_2015_tax_IB-EC-17-n,Investment Goods 17% - Extra-Community (-),IB-EC-17-n,none,percent,-17,lu_2011_account_4614113,lu_2011_account_4614113,lu_2011_chart_1,1364,,tag_lu_544
